,volume,vwap,open,close,high,low,datetime,trades
642,195957.456184,681.7281,681.5181,681.932,681.98,681.43,2026-03-03 14:42:00-05:00,3082
643,219824.415552,681.5304,681.92,681.3743,681.94,681.24,2026-03-03 14:43:00-05:00,3154
644,198438.862866,681.856,681.4031,681.94,682.0,681.3403,2026-03-03 14:44:00-05:00,3136
645,340501.901736,682.1844,681.955,682.23,682.45,681.84,2026-03-03 14:45:00-05:00,4298
646,383742.546636,683.844,682.22,682.387,682.61,682.2,2026-03-03 14:46:00-05:00,2973
647,196865.99547,682.3648,682.39,682.45,682.59,682.03,2026-03-03 14:47:00-05:00,3018
648,298630.875164,684.1665,682.44,682.1,682.59,682.055,2026-03-03 14:48:00-05:00,2609
649,252973.896224,682.0127,682.07,682.03,682.15,681.845,2026-03-03 14:49:00-05:00,3150
650,211818.66827,682.0609,682.03,682.22,682.3888,681.72,2026-03-03 14:50:00-05:00,3159
651,105643.6042,682.1656,682.2499,681.99,682.4,681.86,2026-03-03 14:51:00-05:00,1727
652,236507.684236,681.6603,681.989,681.68,682.02,681.37,2026-03-03 14:52:00-05:00,3005
653,191317.774325,681.1907,681.69,680.972,681.71,680.95,2026-03-03 14:53:00-05:00,3592
654,294280.919892,681.2166,680.97,681.42,681.56,680.85,2026-03-03 14:54:00-05:00,4061
655,143495.975043,681.2158,681.43,681.04,681.53,680.94,2026-03-03 14:55:00-05:00,2447
656,162202.919316,680.936,681.03,680.9,681.09,680.67,2026-03-03 14:56:00-05:00,2707
657,183979.459468,681.1371,680.895,681.02,681.4,680.85,2026-03-03 14:57:00-05:00,2554
658,75034.53455,681.1453,681.03,681.195,681.31,681.01,2026-03-03 14:58:00-05:00,1355
659,78854.376699,681.2627,681.25,681.233,681.43,681.15,2026-03-03 14:59:00-05:00,1654
660,213897.690437,681.0845,681.25,680.91,681.32,680.89,2026-03-03 15:00:00-05:00,3381
661,142840.9309,681.6489,680.905,681.855,681.95,680.87,2026-03-03 15:01:00-05:00,2569
662,177342.488483,681.5073,681.86,681.3,681.9,681.09,2026-03-03 15:02:00-05:00,2826
663,122034.759796,681.3187,681.32,681.21,681.45,681.11,2026-03-03 15:03:00-05:00,2206
664,114562.412207,681.1312,681.22,681.19,681.34,681.01,2026-03-03 15:04:00-05:00,2130
665,180848.200633,680.9447,681.16,681.0287,681.22,680.75,2026-03-03 15:05:00-05:00,3440
666,167631.349814,680.9095,681.03,681.13,681.13,680.75,2026-03-03 15:06:00-05:00,2884
667,95750.075805,681.3397,681.125,681.39,681.59,681.08,2026-03-03 15:07:00-05:00,1993
668,78034.417013,681.3051,681.39,681.41,681.43,681.18,2026-03-03 15:08:00-05:00,1695
669,108277.229999,681.3751,681.44,681.48,681.57,681.2,2026-03-03 15:09:00-05:00,1906
670,71756.382402,681.5116,681.46,681.67,681.7,681.36,2026-03-03 15:10:00-05:00,1532
671,130348.23239,681.6549,681.67,681.57,681.79,681.46,2026-03-03 15:11:00-05:00,2000
672,81526.489102,681.4098,681.58,681.31,681.62,681.2,2026-03-03 15:12:00-05:00,1585
673,100107.387254,681.2859,681.3,681.12,681.46,681.06,2026-03-03 15:13:00-05:00,1684
674,313660.873899,680.9334,681.12,680.745,681.19,680.73,2026-03-03 15:14:00-05:00,3460
675,249572.812036,680.8813,680.72,680.98,681.08,680.68,2026-03-03 15:15:00-05:00,3335
676,306044.734734,680.725,680.96,680.39,681.06,680.36,2026-03-03 15:16:00-05:00,4198
677,240722.260707,680.4335,680.384121,680.25,680.58,680.2,2026-03-03 15:17:00-05:00,3340
678,155554.008542,680.3484,680.26,680.55,680.615,680.18,2026-03-03 15:18:00-05:00,2319
679,150091.547876,680.4367,680.56,680.49,680.59,680.33,2026-03-03 15:19:00-05:00,2114
