,volume,vwap,open,close,high,low,datetime,trades
577,126097.121172,686.2149,686.29,686.26,686.35,686.07,2026-03-02 13:38:00-05:00,2481
578,32073.098385,686.2137,686.25,686.2,686.275,686.14,2026-03-02 13:39:00-05:00,980
579,72365.213347,686.1396,686.2,686.12,686.2,686.06,2026-03-02 13:40:00-05:00,1634
580,102690.708071,686.0236,686.1,685.98,686.135,685.93,2026-03-02 13:41:00-05:00,2038
581,190481.35131,685.9085,685.97,685.89,685.99,685.785,2026-03-02 13:42:00-05:00,3094
582,96464.271096,686.1379,685.89,686.2012,686.335,685.88,2026-03-02 13:43:00-05:00,1855
583,35552.625381,686.2124,686.21,686.25,686.27,686.14,2026-03-02 13:44:00-05:00,879
584,62248.546535,686.1044,686.22,686.04,686.235,685.981,2026-03-02 13:45:00-05:00,1430
585,75611.244242,685.9458,686.06,685.73,686.12,685.72,2026-03-02 13:46:00-05:00,1679
586,210186.726437,685.4987,685.73,685.455,685.73,685.3099,2026-03-02 13:47:00-05:00,3362
587,97403.650222,685.6872,685.46,685.8399,685.87,685.38,2026-03-02 13:48:00-05:00,1553
588,90868.302748,685.8374,685.83,685.83,685.96,685.72,2026-03-02 13:49:00-05:00,1386
589,72998.375961,685.9176,685.82,685.88,686.01,685.82,2026-03-02 13:50:00-05:00,1417
590,82277.836097,685.8086,685.88,685.65,686.01,685.6,2026-03-02 13:51:00-05:00,1717
591,73148.084614,685.615,685.64,685.59,685.7,685.5299,2026-03-02 13:52:00-05:00,1533
592,66737.814796,685.6904,685.59,685.74,685.81,685.53,2026-03-02 13:53:00-05:00,1402
593,48538.109591,685.7496,685.73,685.72,685.8,685.69,2026-03-02 13:54:00-05:00,1166
594,90176.187565,685.6016,685.73,685.42,685.75,685.4,2026-03-02 13:55:00-05:00,1732
595,70669.487884,685.5283,685.42,685.65,685.66,685.41,2026-03-02 13:56:00-05:00,1258
596,58734.763192,685.5625,685.67,685.51,685.67,685.485,2026-03-02 13:57:00-05:00,1096
597,300171.379528,685.4923,685.5101,685.36,685.58,685.225,2026-03-02 13:58:00-05:00,2208
598,139154.528982,685.3838,685.36,685.28,685.52,685.245,2026-03-02 13:59:00-05:00,2074
599,159659.405909,685.2799,685.27,685.28,685.398,685.19,2026-03-02 14:00:00-05:00,2539
600,145360.878969,685.4076,685.29,685.36,685.582,685.24,2026-03-02 14:01:00-05:00,2401
601,112616.579572,685.2888,685.35,685.4,685.4,685.2,2026-03-02 14:02:00-05:00,2141
602,89029.841874,685.4567,685.41,685.48,685.58,685.34,2026-03-02 14:03:00-05:00,1638
603,114107.184406,685.598,685.48,685.66,685.74,685.43,2026-03-02 14:04:00-05:00,1779
604,88001.908032,685.6469,685.66,685.65,685.73,685.52,2026-03-02 14:05:00-05:00,1469
605,93997.540903,685.7807,685.64,685.86,685.945,685.58,2026-03-02 14:06:00-05:00,1565
606,71874.733812,685.7923,685.86,685.775,685.88,685.71,2026-03-02 14:07:00-05:00,1260
607,107363.98851,685.9219,685.78,685.94,686.03,685.765,2026-03-02 14:08:00-05:00,1709
608,151358.869189,686.148,685.94,686.44,686.48,685.79,2026-03-02 14:09:00-05:00,2403
609,105417.989178,686.4999,686.45,686.575,686.58,686.405,2026-03-02 14:10:00-05:00,1678
610,175009.802032,686.5728,686.575,686.76,686.79,686.39,2026-03-02 14:11:00-05:00,2469
611,175672.77359,686.7618,686.76,686.83,686.84,686.65,2026-03-02 14:12:00-05:00,2607
612,95081.665598,686.8252,686.82,686.81,686.89,686.77,2026-03-02 14:13:00-05:00,1496
613,114797.73066,686.8781,686.8,686.93,686.99,686.74,2026-03-02 14:14:00-05:00,2022
614,304582.400609,687.2701,686.93,687.33,687.53,686.93,2026-03-02 14:15:00-05:00,4323
615,252968.812455,687.5169,687.33,687.6,687.61,687.32,2026-03-02 14:16:00-05:00,3305
616,128459.086754,687.6318,687.595,687.61,687.7697,687.5425,2026-03-02 14:17:00-05:00,1800
617,171003.979175,687.6413,687.61,687.72,687.725,687.57,2026-03-02 14:18:00-05:00,2236
618,164946.35454,687.6035,687.72,687.68,687.79,687.5,2026-03-02 14:19:00-05:00,2345
619,224388.595693,687.8614,687.675,687.91,688.09,687.625,2026-03-02 14:20:00-05:00,3322
620,190812.335451,688.0359,687.9,688.07,688.21,687.86,2026-03-02 14:21:00-05:00,2845
621,184929.074516,688.0822,688.08,688.05,688.19,687.98,2026-03-02 14:22:00-05:00,2778
622,127479.173158,687.9806,688.04,687.96,688.11,687.87,2026-03-02 14:23:00-05:00,1722
623,116495.626959,687.8204,687.95,687.7,687.95,687.69,2026-03-02 14:24:00-05:00,1685
624,134447.28613,687.6639,687.6923,687.61,687.78,687.55,2026-03-02 14:25:00-05:00,1991
625,70912.199281,687.748,687.59,687.87,687.92,687.57,2026-03-02 14:26:00-05:00,1223
626,84935.914621,687.9291,687.86,688.01,688.03,687.77,2026-03-02 14:27:00-05:00,1541
627,85869.335219,688.0358,688.0,688.03,688.11,687.96,2026-03-02 14:28:00-05:00,1208
628,187823.870017,688.1741,688.04,688.2,688.28,688.0,2026-03-02 14:29:00-05:00,2247
