Trd, 007373.962, 137
Trd, 007386.000, 143
Trd, 007397.308, 139
Trd, 007398.308, 124
Trd, 007401.769, 144
Trd, 007420.923, 139
Trd, 007439.154, 141
Trd, 007445.423, 129
Trd, 007448.346, 120
Trd, 007465.385, 134
Trd, 007470.385, 129
Trd, 007501.923, 131
Trd, 007504.462, 128
Trd, 007504.615, 127
Trd, 007513.308, 141
Trd, 007517.038, 124
Trd, 007518.154, 134
Trd, 007537.269, 129
Trd, 007539.500, 131
Trd, 007551.346, 121
Trd, 007551.731, 120
Trd, 007560.346, 116
Trd, 007570.885, 141
Trd, 007573.038, 136
Trd, 007574.115, 115
Trd, 007607.038, 124
Trd, 007618.538, 131
Trd, 007624.615, 132
Trd, 007632.000, 131
Trd, 007635.462, 122
Trd, 007664.038, 120
Trd, 007670.346, 126
Trd, 007670.846, 127
Trd, 007683.692, 114
Trd, 007696.846, 120
Trd, 007699.500, 135
Trd, 007722.000, 130
Trd, 007729.577, 131
Trd, 007742.346, 125
Trd, 007755.038, 128
Trd, 007766.808, 126
Trd, 007779.577, 134
Trd, 007786.885, 127
Trd, 007789.038, 126
Trd, 007795.577, 132
Trd, 007816.000, 135
Trd, 007817.154, 127
Trd, 007822.231, 129
Trd, 007832.500, 129
Trd, 007845.269, 118
Trd, 007853.654, 115
Trd, 007865.192, 131
Trd, 007874.115, 133
Trd, 007897.346, 125
Trd, 007907.692, 131
Trd, 007916.885, 141
Trd, 007936.577, 148
Trd, 007938.077, 102
Trd, 007942.692, 107
Trd, 007947.346, 109
Trd, 007952.577, 124
Trd, 007966.615, 124
Trd, 007975.654, 137
Trd, 007981.269, 125
Trd, 007988.731, 114
Trd, 007995.038, 124
Trd, 007996.115, 131
Trd, 007997.500, 116
Trd, 008000.154, 101
Trd, 008001.000, 102
Trd, 008002.500, 142
Trd, 008003.731, 128
Trd, 008008.423, 111
Trd, 008013.154, 137
Trd, 008023.385, 123
Trd, 008036.385, 134
Trd, 008040.500, 139
Trd, 008044.038, 120
Trd, 008089.577, 124
Trd, 008093.038, 127
Trd, 008098.308, 135
Trd, 008103.192, 117
Trd, 008125.385, 141
Trd, 008133.115, 131
Trd, 008133.923, 131
Trd, 008139.385, 142
Trd, 008144.692, 125
Trd, 008144.769, 124
Trd, 008147.808, 123
Trd, 008169.923, 132
Trd, 008174.500, 129
Trd, 008192.269, 130
Trd, 008208.231, 123
Trd, 008220.692, 124
Trd, 008223.538, 126
Trd, 008235.346, 130
Trd, 008236.500, 125
Trd, 008247.077, 134
Trd, 008251.038, 132
Trd, 008256.923, 130
Trd, 008271.038, 131
Trd, 008273.692, 129
Trd, 008274.923, 128
Trd, 008310.269, 130
Trd, 008317.615, 131
Trd, 008323.923, 116
Trd, 008327.385, 124
Trd, 008337.077, 137
Trd, 008349.308, 131
Trd, 008357.346, 130
Trd, 008367.192, 135
Trd, 008368.538, 125
Trd, 008369.385, 123
Trd, 008385.385, 113
Trd, 008389.692, 134
Trd, 008396.962, 117
Trd, 008397.192, 121
Trd, 008397.769, 122
Trd, 008405.115, 126
Trd, 008410.654, 131
Trd, 008424.462, 131
Trd, 008441.308, 127
Trd, 008446.615, 113
Trd, 008457.769, 118
Trd, 008459.077, 117
Trd, 008471.231, 121
Trd, 008479.385, 127
Trd, 008495.269, 140
Trd, 008496.769, 133
Trd, 008500.577, 137
Trd, 008504.538, 132
Trd, 008525.115, 132
Trd, 008525.923, 134
Trd, 008541.500, 129
Trd, 008548.962, 116
Trd, 008550.500, 121
Trd, 008557.308, 129
Trd, 008559.654, 147
Trd, 008572.577, 128
Trd, 008584.231, 117
Trd, 008584.500, 118
Trd, 008596.462, 116
Trd, 008601.038, 124
Trd, 008612.000, 127
Trd, 008616.808, 138
Trd, 008624.000, 122
Trd, 008624.038, 121
Trd, 008624.231, 125
Trd, 008628.154, 116
Trd, 008631.731, 124
Trd, 008634.423, 125
Trd, 008659.385, 141
Trd, 008675.769, 129
Trd, 008681.000, 122
Trd, 008696.577, 120
Trd, 008698.462, 127
Trd, 008711.308, 122
Trd, 008723.692, 113
Trd, 008725.692, 115
Trd, 008745.423, 127
Trd, 008749.615, 106
Trd, 008752.885, 136
Trd, 008760.577, 125
Trd, 008765.154, 136
Trd, 008769.385, 132
Trd, 008773.923, 130
Trd, 008777.385, 132
Trd, 008781.615, 134
Trd, 008788.231, 136
Trd, 008797.538, 142
Trd, 008814.462, 141
Trd, 008814.692, 137
Trd, 008818.538, 141
Trd, 008836.731, 137
Trd, 008836.885, 135
Trd, 008849.731, 134
Trd, 008849.808, 133
Trd, 008860.731, 121
Trd, 008873.115, 113
Trd, 008887.885, 123
Trd, 008908.154, 115
Trd, 008913.962, 118
Trd, 008922.615, 123
Trd, 008928.885, 125
Trd, 008933.346, 138
Trd, 008938.231, 111
Trd, 008973.077, 118
Trd, 008977.192, 120
Trd, 009001.500, 129
Trd, 009001.962, 121
Trd, 009006.346, 120
Trd, 009017.000, 120
Trd, 009018.346, 136
Trd, 009030.500, 123
Trd, 009051.231, 148
Trd, 009065.000, 138
Trd, 009077.231, 130
Trd, 009093.654, 112
Trd, 009096.115, 116
Trd, 009102.577, 119
Trd, 009107.038, 136
Trd, 009115.538, 127
Trd, 009124.731, 120
